,City,State,share_white,share_black,poverty_rate,income,protest_rate
0,Bethel,AK,23.3,0.9,11.4,76135.0,0.015183723048891588
1,Dillingham,AK,30.7,0.4,12.3,66875.0,0.03389830508474576
2,Fairbanks,AK,66.1,9.0,13.1,55229.0,0.00905650612931397
3,Ketchikan,AK,60.7,0.8,16.6,53111.0,0.024142926122646062
4,Kotzebue,AK,16.0,0.9,16.3,87708.0,0.009242144177449169
5,Palmer,AK,79.1,1.8,11.5,61797.0,0.26824034334763946
6,Unalakleet,AK,15.0,0.6,14.9,68015.0,0.031654676258992806
7,Auburn,AL,75.1,16.5,31.8,38342.0,0.0030184578698742807
8,Birmingham,AL,22.3,73.4,30.9,31061.0,0.0014421951930010553
9,Brewton,AL,54.1,42.6,27.8,31033.0,0.007677543186180422
10,Cullman,AL,93.4,0.9,21.9,38746.0,0.001871024073843084
11,Florence,AL,75.0,19.4,24.6,35731.0,0.0005882785498933746
12,Gadsden,AL,57.3,36.3,29.4,29136.0,0.002857142857142857
13,Homewood,AL,74.6,17.3,12.7,61626.0,0.007881152224455215
14,Hoover,AL,75.1,14.8,6.0,77146.0,0.0018246898610204273
15,Huntsville,AL,60.3,31.2,18.2,48775.0,0.0028667723633172795
16,Mobile,AL,45.0,50.6,23.3,38776.0,0.005497562526494277
17,Montgomery,AL,37.3,56.6,24.1,42927.0,0.0010074297947361792
18,Opelika,AL,50.6,43.5,23.0,40489.0,0.005661964539924938
19,Phenix,AL,48.7,46.6,21.0,36698.0,0.002740702167895415
20,Tuscaloosa,AL,53.8,41.5,25.1,39351.0,0.01977672082192052
21,Arkadelphia,AR,65.5,30.3,33.0,28581.0,0.01864628006712661
22,Batesville,AR,83.2,4.3,20.9,38092.0,0.02757859900717044
23,Bentonville,AR,81.4,2.5,7.7,71941.0,0.02731792602305633
24,ElDorado,AR,45.1,49.9,27.4,34239.0,0.0028327006968443713
25,Jonesboro,AR,74.7,18.4,23.7,41688.0,0.00030614587851111056
